date,lottery_id,n1,n2,n3,n4,n5
2013.09.28.,hu5,5,31,64,76,86
2013.09.21.,hu5,17,21,70,77,83
2013.09.14.,hu5,1,15,48,53,62
2013.09.07.,hu5,26,66,77,82,87
2013.08.31.,hu5,15,24,48,59,65
2013.08.24.,hu5,10,12,22,39,68
2013.08.17.,hu5,12,25,31,56,57
2013.08.10.,hu5,42,44,49,70,78
2013.08.03.,hu5,30,31,39,78,83
2013.07.27.,hu5,22,59,62,80,90
2013.07.20.,hu5,16,30,32,49,73
2013.07.13.,hu5,2,13,15,36,69
2013.07.06.,hu5,55,68,76,78,81
2013.06.29.,hu5,14,27,64,70,85
2013.06.22.,hu5,8,12,38,45,85
2013.06.15.,hu5,13,15,30,31,41
2013.06.08.,hu5,13,26,42,79,84
2013.06.01.,hu5,9,30,39,52,75
2013.05.25.,hu5,13,50,53,59,70
2013.05.18.,hu5,23,26,33,53,60
2013.05.11.,hu5,12,37,62,82,83
2013.05.04.,hu5,25,39,45,54,65
2013.04.27.,hu5,20,23,39,70,78
2013.04.20.,hu5,18,33,53,75,89
2013.04.13.,hu5,26,39,40,52,53
2013.04.06.,hu5,1,30,37,55,82
2013.03.30.,hu5,3,45,56,57,86
2013.03.23.,hu5,1,15,45,68,70
2013.03.16.,hu5,2,12,23,57,78
2013.03.09.,hu5,6,18,26,76,77
2013.03.02.,hu5,6,15,23,43,68
2013.02.23.,hu5,2,3,47,61,67
2013.02.16.,hu5,3,19,41,55,61
2013.02.09.,hu5,1,31,55,77,88
2013.02.02.,hu5,7,14,19,37,44
2013.01.26.,hu5,21,33,43,56,79
2013.01.19.,hu5,4,20,24,36,39
2013.01.12.,hu5,4,12,31,75,85
2013.01.05.,hu5,28,47,58,72,75
2012.12.29.,hu5,34,41,56,59,61
2012.12.22.,hu5,5,15,32,52,83
2012.12.15.,hu5,5,16,70,82,85
2012.12.08.,hu5,20,31,34,69,84
2012.12.01.,hu5,15,33,56,60,76
2012.11.24.,hu5,20,26,59,72,75
2012.11.17.,hu5,16,24,40,64,73
2012.11.10.,hu5,9,16,49,54,68
2012.11.03.,hu5,3,15,19,63,89
2012.10.27.,hu5,15,18,37,48,72
2012.10.20.,hu5,47,51,53,57,63
2012.10.13.,hu5,6,23,41,81,85
2012.10.06.,hu5,18,28,29,33,59
2012.09.29.,hu5,2,12,29,68,86
2012.09.22.,hu5,28,38,52,56,65
2012.09.15.,hu5,39,62,73,83,90
2012.09.08.,hu5,1,7,30,44,69
2012.09.01.,hu5,24,75,83,84,85
2012.08.25.,hu5,7,26,37,81,88
2012.08.18.,hu5,11,42,53,64,66
2012.08.11.,hu5,16,23,26,74,75
2012.08.04.,hu5,16,22,28,40,54
2012.07.28.,hu5,7,33,35,83,89
2012.07.21.,hu5,19,43,46,47,52
2012.07.14.,hu5,20,44,52,65,83
2012.07.07.,hu5,17,29,74,76,82
2012.06.30.,hu5,11,12,31,49,58
2012.06.23.,hu5,19,24,47,60,88
2012.06.16.,hu5,19,26,53,60,89
2012.06.09.,hu5,14,21,22,58,64
2012.06.02.,hu5,18,20,30,42,51
2012.05.26.,hu5,23,30,45,56,71
2012.05.19.,hu5,11,36,43,63,66
2012.05.12.,hu5,1,25,27,69,81
2012.05.05.,hu5,21,36,68,69,87
2012.04.28.,hu5,1,6,23,46,50
2012.04.21.,hu5,24,25,43,60,85
2012.04.14.,hu5,1,23,39,50,65
2012.04.07.,hu5,35,75,80,84,86
2012.03.31.,hu5,15,17,68,71,89
2012.03.24.,hu5,5,44,63,73,83
2012.03.17.,hu5,39,45,57,77,81
2012.03.10.,hu5,45,67,69,76,88
2012.03.03.,hu5,2,18,43,48,53
2012.02.25.,hu5,7,18,59,60,65
2012.02.18.,hu5,3,29,66,79,83
2012.02.11.,hu5,40,54,60,64,65
2012.02.04.,hu5,4,15,24,78,82
2012.01.28.,hu5,7,21,48,55,82
2012.01.21.,hu5,10,30,44,65,66
2012.01.14.,hu5,12,41,59,61,66
2012.01.07.,hu5,45,56,65,81,83
2012.01.01.,hu5,19,32,36,52,76
2011.12.25.,hu5,12,18,25,40,67
2011.12.17.,hu5,2,4,61,62,89
2011.12.10.,hu5,4,24,32,46,84
2011.12.03.,hu5,9,18,45,57,71
2011.11.26.,hu5,2,6,34,35,76
2011.11.19.,hu5,4,34,48,66,83
2011.11.12.,hu5,6,11,40,47,86
2011.11.05.,hu5,6,26,27,33,75
2011.10.29.,hu5,4,26,67,68,71
2011.10.22.,hu5,24,37,39,48,74
2011.10.15.,hu5,1,4,40,57,70
2011.10.08.,hu5,33,59,63,76,84
2011.10.01.,hu5,4,22,32,33,35
2011.09.24.,hu5,3,20,27,42,51
2011.09.17.,hu5,16,50,74,76,78
2011.09.10.,hu5,35,57,74,84,87
2011.09.03.,hu5,7,10,56,58,84
2011.08.27.,hu5,35,59,78,85,88
2011.08.20.,hu5,23,65,75,84,88
2011.08.13.,hu5,20,56,63,68,84
2011.08.06.,hu5,7,14,50,68,90
2011.07.30.,hu5,28,50,64,79,82
2011.07.23.,hu5,28,55,57,82,83
2011.07.16.,hu5,4,20,43,52,85
2011.07.09.,hu5,37,50,65,87,89
2011.07.02.,hu5,2,22,36,60,76
2011.06.25.,hu5,15,52,55,71,83
2011.06.18.,hu5,15,20,37,42,51
2011.06.11.,hu5,11,42,45,63,76
2011.06.04.,hu5,2,13,72,83,84
2011.05.28.,hu5,9,33,42,68,74
2011.05.21.,hu5,8,10,51,59,74
2011.05.14.,hu5,22,29,40,48,86
2011.05.07.,hu5,6,22,23,47,84
2011.04.30.,hu5,26,39,41,84,88
2011.04.23.,hu5,1,19,34,51,67
2011.04.16.,hu5,35,60,74,77,84
2011.04.09.,hu5,2,34,66,77,82
2011.04.02.,hu5,24,29,53,71,72
2011.03.26.,hu5,40,54,73,81,85
2011.03.19.,hu5,18,41,42,52,89
2011.03.12.,hu5,17,31,32,53,72
2011.03.05.,hu5,1,56,69,75,76
2011.02.26.,hu5,5,22,51,70,72
2011.02.19.,hu5,15,38,66,70,76
2011.02.12.,hu5,5,15,36,73,75
2011.02.05.,hu5,1,2,18,58,74
2011.01.29.,hu5,12,21,33,57,59
2011.01.22.,hu5,26,39,70,71,82
2011.01.15.,hu5,3,10,48,61,76
2011.01.08.,hu5,5,30,55,70,85
2011.01.01.,hu5,4,8,31,81,83
2010.12.25.,hu5,4,17,70,71,75
2010.12.18.,hu5,11,30,63,66,84
2010.12.11.,hu5,4,28,38,69,72
2010.12.04.,hu5,37,45,48,52,74
2010.11.27.,hu5,2,60,66,73,84
2010.11.20.,hu5,24,26,39,40,78
2010.11.13.,hu5,1,15,22,50,80
2010.11.06.,hu5,15,41,43,45,89
2010.10.30.,hu5,6,28,38,49,69
2010.10.23.,hu5,12,23,30,33,61
2010.10.16.,hu5,2,8,38,44,50
2010.10.09.,hu5,10,29,62,74,83
2010.10.02.,hu5,13,19,31,53,73
2010.09.25.,hu5,26,30,36,41,81
2010.09.18.,hu5,1,7,14,35,43
2010.09.11.,hu5,25,32,36,43,63
2010.09.04.,hu5,15,37,46,55,59
2010.08.28.,hu5,3,11,16,22,87
2010.08.21.,hu5,13,19,26,53,73
2010.08.14.,hu5,39,42,47,81,89
2010.08.07.,hu5,2,9,11,37,46
2010.07.31.,hu5,1,3,38,63,72
2010.07.24.,hu5,11,23,32,66,73
2010.07.17.,hu5,25,49,76,78,85
2010.07.10.,hu5,3,53,73,76,89
2010.07.03.,hu5,14,17,21,28,50
2010.06.26.,hu5,11,18,26,67,83
2010.06.19.,hu5,4,44,65,73,89
2010.06.12.,hu5,31,46,70,74,78
2010.06.05.,hu5,9,18,76,85,90
2010.05.29.,hu5,17,19,29,36,78
2010.05.22.,hu5,4,6,52,77,78
2010.05.15.,hu5,15,37,51,83,86
2010.05.08.,hu5,2,30,50,72,84
2010.05.01.,hu5,24,52,58,61,78
2010.04.24.,hu5,1,10,42,55,73
2010.04.17.,hu5,18,36,49,64,80
2010.04.10.,hu5,18,23,45,53,64
2010.04.03.,hu5,28,38,55,68,82
2010.03.27.,hu5,8,22,53,63,71
2010.03.20.,hu5,10,61,71,77,83
2010.03.13.,hu5,1,29,50,55,70
2010.03.06.,hu5,20,24,61,86,90
2010.02.27.,hu5,9,24,54,79,82
2010.02.20.,hu5,4,9,29,64,65
2010.02.13.,hu5,13,26,27,30,45
2010.02.06.,hu5,12,38,39,57,79
2010.01.30.,hu5,3,16,31,52,53
2010.01.23.,hu5,8,9,54,69,87
2010.01.16.,hu5,25,35,42,57,87
2010.01.09.,hu5,13,17,42,43,46
2010.01.02.,hu5,5,42,46,71,81
2009.12.26.,hu5,4,22,68,72,82
2009.12.19.,hu5,6,28,33,41,45
2009.12.12.,hu5,3,25,48,55,80
2009.12.05.,hu5,21,38,46,61,65
2009.11.28.,hu5,15,19,45,63,68
2009.11.21.,hu5,60,73,75,82,86
2009.11.14.,hu5,55,61,63,86,90
2009.11.07.,hu5,6,32,57,66,77
2009.10.31.,hu5,5,35,47,66,78
2009.10.24.,hu5,18,19,54,57,84
2009.10.17.,hu5,4,27,29,62,72
2009.10.10.,hu5,15,28,51,52,73
2009.10.03.,hu5,1,6,8,59,71
2009.09.26.,hu5,16,24,33,54,84
2009.09.19.,hu5,9,16,26,73,75
2009.09.12.,hu5,1,11,21,29,81
2009.09.05.,hu5,9,14,15,26,45
2009.08.29.,hu5,9,12,35,56,58
2009.08.22.,hu5,11,34,41,56,69
2009.08.15.,hu5,4,43,61,77,80
2009.08.08.,hu5,1,2,16,51,90
2009.08.01.,hu5,15,23,41,67,73
2009.07.25.,hu5,25,29,48,66,89
2009.07.18.,hu5,1,6,20,33,38
2009.07.11.,hu5,4,28,58,59,85
2009.07.04.,hu5,2,54,66,78,81
2009.06.27.,hu5,4,9,13,32,70
2009.06.20.,hu5,3,4,32,83,90
2009.06.13.,hu5,1,7,17,40,81
2009.06.06.,hu5,31,37,66,73,77
2009.05.30.,hu5,25,66,76,77,90
2009.05.23.,hu5,1,13,33,46,54
2009.05.16.,hu5,2,38,44,61,76
2009.05.09.,hu5,27,33,38,71,81
2009.05.02.,hu5,10,16,29,34,42
2009.04.25.,hu5,20,43,53,54,58
2009.04.19.,hu5,17,21,57,62,71
2009.04.11.,hu5,4,7,31,54,57
2009.04.04.,hu5,7,11,15,66,79
2009.03.28.,hu5,14,32,53,70,86
2009.03.21.,hu5,20,44,52,74,85
2009.03.14.,hu5,26,31,33,36,37
2009.03.07.,hu5,11,25,57,79,86
2009.02.28.,hu5,7,22,79,86,88
2009.02.21.,hu5,5,19,26,62,64
2009.02.14.,hu5,4,16,22,39,69
2009.02.07.,hu5,18,22,29,47,51
2009.01.31.,hu5,27,43,53,74,75
2009.01.24.,hu5,2,29,31,43,85
2009.01.17.,hu5,16,43,48,76,86
2009.01.10.,hu5,4,41,56,84,85
2009.01.03.,hu5,9,12,36,51,60
2008.12.27.,hu5,26,34,66,67,83
2008.12.20.,hu5,1,23,24,39,62
2008.12.13.,hu5,1,15,43,44,51
2008.12.06.,hu5,11,24,31,60,84
2008.11.29.,hu5,10,13,28,52,65
2008.11.22.,hu5,9,13,16,39,67
2008.11.15.,hu5,9,13,29,33,64
2008.11.08.,hu5,9,22,24,49,88
2008.11.01.,hu5,2,9,39,69,75
2008.10.25.,hu5,5,14,36,46,54
2008.10.18.,hu5,31,52,55,59,62
2008.10.11.,hu5,11,27,69,72,77
2008.10.04.,hu5,1,25,38,71,74
2008.09.27.,hu5,33,45,57,73,88
2008.09.20.,hu5,22,31,53,67,84
2008.09.13.,hu5,34,41,61,76,84
2008.09.06.,hu5,22,23,31,42,73
2008.08.30.,hu5,3,40,57,75,83
2008.08.23.,hu5,11,20,44,46,88
2008.08.16.,hu5,7,16,33,65,78
2008.08.09.,hu5,1,33,42,65,70
2008.08.02.,hu5,2,38,40,50,84
2008.07.26.,hu5,32,37,48,70,87
2008.07.19.,hu5,14,24,64,74,81
2008.07.12.,hu5,2,23,26,27,50
2008.07.05.,hu5,20,27,63,81,82
2008.06.28.,hu5,4,7,56,71,83
2008.06.21.,hu5,5,16,30,50,55
2008.06.14.,hu5,3,15,16,56,89
2008.06.07.,hu5,27,33,39,65,83
2008.05.31.,hu5,4,8,18,86,89
2008.05.24.,hu5,3,11,28,43,75
2008.05.17.,hu5,53,57,62,82,90
2008.05.10.,hu5,4,44,47,63,89
2008.05.03.,hu5,10,53,54,65,71
2008.04.26.,hu5,7,8,24,56,85
2008.04.19.,hu5,11,36,38,79,89
2008.04.12.,hu5,29,55,64,77,87
2008.04.05.,hu5,16,51,69,78,87
2008.03.29.,hu5,10,14,28,35,41
2008.03.22.,hu5,9,29,57,69,74
2008.03.15.,hu5,10,34,42,66,85
2008.03.08.,hu5,10,23,29,58,65
2008.03.01.,hu5,11,13,49,57,60
2008.02.23.,hu5,12,27,44,52,57
2008.02.16.,hu5,2,24,26,34,88
2008.02.09.,hu5,14,16,28,46,58
2008.02.02.,hu5,3,18,20,71,81
2008.01.26.,hu5,10,23,61,68,72
2008.01.19.,hu5,5,24,59,62,86
2008.01.12.,hu5,18,42,45,72,80
2008.01.05.,hu5,4,14,27,38,41
2007.12.29.,hu5,9,12,15,49,66
2007.12.22.,hu5,15,17,34,80,90
2007.12.15.,hu5,11,13,18,39,76
2007.12.08.,hu5,40,50,70,73,89
2007.12.01.,hu5,6,27,60,71,82
2007.11.24.,hu5,4,21,26,71,83
2007.11.17.,hu5,9,34,50,63,90
2007.11.10.,hu5,1,15,26,55,59
2007.11.03.,hu5,15,22,23,70,88
2007.10.27.,hu5,28,34,36,42,86
2007.10.20.,hu5,25,30,40,55,74
2007.10.13.,hu5,11,21,32,84,85
2007.10.06.,hu5,1,18,30,69,90
2007.09.29.,hu5,25,38,51,55,85
2007.09.22.,hu5,27,37,39,57,66
2007.09.15.,hu5,9,35,42,87,88
2007.09.08.,hu5,2,4,17,25,41
2007.09.01.,hu5,3,11,24,35,77
2007.08.25.,hu5,17,26,57,59,78
2007.08.18.,hu5,28,30,35,46,83
2007.08.11.,hu5,1,3,47,76,78
2007.08.04.,hu5,40,46,63,71,77
2007.07.28.,hu5,13,14,39,81,87
2007.07.21.,hu5,20,41,44,68,71
2007.07.14.,hu5,24,56,73,89,90
2007.07.07.,hu5,21,24,26,35,71
2007.06.30.,hu5,9,62,69,83,90
2007.06.23.,hu5,10,16,25,36,56
2007.06.16.,hu5,19,29,47,54,83
2007.06.09.,hu5,31,44,71,73,82
2007.06.02.,hu5,11,24,42,59,78
2007.05.26.,hu5,1,6,18,35,79
2007.05.19.,hu5,46,65,75,84,85
2007.05.12.,hu5,52,54,72,77,83
2007.05.05.,hu5,9,14,21,55,77
2007.04.28.,hu5,21,41,45,49,63
2007.04.21.,hu5,3,10,14,30,63
2007.04.14.,hu5,14,30,47,58,77
2007.04.07.,hu5,14,20,30,55,75
2007.03.31.,hu5,7,49,63,64,72
2007.03.24.,hu5,13,49,66,75,79
2007.03.17.,hu5,22,39,49,60,70
2007.03.10.,hu5,11,24,38,39,81
2007.03.03.,hu5,18,36,65,79,89
2007.02.24.,hu5,8,13,39,43,63
2007.02.17.,hu5,16,22,62,79,90
2007.02.10.,hu5,1,8,34,74,86
2007.02.03.,hu5,14,23,72,85,86
2007.01.27.,hu5,2,32,47,61,67
2007.01.20.,hu5,16,43,56,57,86
2007.01.13.,hu5,45,54,79,81,82
2007.01.06.,hu5,27,36,37,55,57
2006.12.30.,hu5,5,21,35,62,76
2006.12.23.,hu5,52,54,65,72,88
2006.12.16.,hu5,14,41,48,50,52
2006.12.10.,hu5,4,27,29,74,85
2006.12.02.,hu5,20,25,31,60,79
2006.11.25.,hu5,5,13,21,27,81
2006.11.18.,hu5,14,27,40,52,74
2006.11.11.,hu5,25,42,48,73,87
2006.11.05.,hu5,15,17,37,48,57
2006.10.28.,hu5,5,24,30,44,57
2006.10.21.,hu5,1,6,14,18,88
2006.10.14.,hu5,3,39,40,82,83
2006.10.07.,hu5,25,38,40,55,76
2006.09.30.,hu5,11,12,35,61,76
2006.09.23.,hu5,13,37,51,59,61
2006.09.16.,hu5,19,21,42,73,87
2006.09.09.,hu5,4,12,45,65,66
2006.09.02.,hu5,17,38,39,55,85
2006.08.26.,hu5,16,35,54,65,68
2006.08.19.,hu5,17,18,66,73,90
2006.08.12.,hu5,15,22,63,81,89
2006.08.05.,hu5,13,16,46,65,69
2006.07.29.,hu5,34,45,76,77,83
2006.07.22.,hu5,36,44,47,83,89
2006.07.15.,hu5,2,15,29,73,75
2006.07.08.,hu5,4,17,19,53,61
2006.07.01.,hu5,11,62,69,74,90
2006.06.24.,hu5,38,49,73,78,83
2006.06.17.,hu5,11,17,69,71,80
2006.06.10.,hu5,1,29,34,73,88
2006.06.03.,hu5,15,28,35,65,73
2006.05.27.,hu5,9,22,55,70,79
2006.05.20.,hu5,10,24,51,57,76
2006.05.13.,hu5,12,22,28,56,60
2006.05.06.,hu5,15,23,34,44,67
2006.04.29.,hu5,8,11,13,21,43
2006.04.22.,hu5,3,10,66,69,82
2006.04.15.,hu5,24,28,34,49,56
2006.04.08.,hu5,9,29,38,80,86
2006.04.01.,hu5,8,46,56,79,84
2006.03.25.,hu5,13,35,61,64,66
2006.03.18.,hu5,50,53,63,79,86
2006.03.11.,hu5,9,33,61,72,90
2006.03.04.,hu5,44,71,73,76,84
2006.02.25.,hu5,3,7,8,16,59
2006.02.18.,hu5,19,27,40,80,87
2006.02.11.,hu5,52,55,56,64,81
2006.02.04.,hu5,21,45,52,69,83
2006.01.28.,hu5,13,63,65,66,74
2006.01.21.,hu5,1,33,49,56,69
2006.01.14.,hu5,35,36,42,47,60
2006.01.07.,hu5,5,19,21,44,69
2006.01.01.,hu5,13,35,39,42,58
2005.12.25.,hu5,6,19,31,72,81
2005.12.17.,hu5,3,18,19,60,79
2005.12.10.,hu5,7,11,16,50,86
2005.12.03.,hu5,38,45,56,63,78
2005.11.26.,hu5,5,30,72,87,88
2005.11.19.,hu5,5,14,15,56,79
2005.11.12.,hu5,36,40,52,79,80
2005.11.05.,hu5,15,22,28,41,57
2005.10.29.,hu5,33,37,40,51,52
2005.10.22.,hu5,4,51,66,74,83
2005.10.15.,hu5,34,44,55,62,75
2005.10.08.,hu5,3,19,50,59,70
2005.10.01.,hu5,31,44,55,67,73
2005.09.24.,hu5,8,36,44,55,76
2005.09.17.,hu5,3,33,53,60,61
2005.09.10.,hu5,4,16,22,48,88
2005.09.03.,hu5,17,18,40,42,58
2005.08.27.,hu5,4,32,34,36,78
2005.08.20.,hu5,22,32,51,75,83
2005.08.13.,hu5,2,9,28,30,78
2005.08.06.,hu5,3,31,39,73,81
2005.07.30.,hu5,6,15,36,38,75
2005.07.23.,hu5,11,12,28,64,81
2005.07.16.,hu5,4,10,37,42,51
2005.07.09.,hu5,12,17,45,59,75
2005.07.02.,hu5,17,24,47,68,84
2005.06.25.,hu5,7,24,36,57,70
2005.06.18.,hu5,18,35,56,88,90
2005.06.11.,hu5,4,29,33,44,73
2005.06.04.,hu5,27,36,57,71,86
2005.05.28.,hu5,7,8,69,80,84
2005.05.21.,hu5,14,16,32,53,54
2005.05.14.,hu5,1,6,62,72,75
2005.05.07.,hu5,41,50,80,83,85
2005.04.30.,hu5,41,47,77,82,84
2005.04.23.,hu5,3,4,25,29,65
2005.04.16.,hu5,37,50,69,77,81
2005.04.09.,hu5,9,27,59,72,74
2005.04.02.,hu5,16,20,41,59,60
2005.03.26.,hu5,2,19,63,72,82
2005.03.19.,hu5,21,29,58,62,71
2005.03.12.,hu5,2,16,36,37,72
2005.03.05.,hu5,19,37,49,86,89
2005.02.26.,hu5,8,27,28,33,58
2005.02.19.,hu5,9,20,47,50,78
2005.02.12.,hu5,14,30,32,37,67
2005.02.05.,hu5,31,32,54,76,89
2005.01.29.,hu5,2,8,37,38,54
2005.01.22.,hu5,30,33,40,55,88
2005.01.15.,hu5,22,66,67,87,89
2005.01.08.,hu5,30,42,60,75,80
2005.01.01.,hu5,38,55,65,66,67
2004.12.25.,hu5,24,48,50,55,80
2004.12.18.,hu5,8,11,17,45,81
2004.12.11.,hu5,16,60,65,77,78
2004.12.04.,hu5,11,13,22,38,47
2004.11.27.,hu5,49,61,66,69,75
2004.11.20.,hu5,27,29,34,37,59
2004.11.13.,hu5,23,47,61,69,82
2004.11.06.,hu5,28,38,47,62,79
,hu5,56,67,72,75,80
,hu5,1,27,29,74,78
,hu5,7,10,53,56,61
,hu5,2,5,17,36,73
,hu5,31,32,44,68,75
,hu5,18,27,31,38,44
,hu5,12,26,69,70,71
,hu5,6,75,82,83,86
,hu5,1,32,33,40,69
,hu5,16,38,48,56,60
,hu5,7,44,46,77,83
,hu5,26,43,57,64,71
,hu5,6,25,32,43,82
,hu5,18,26,49,68,76
,hu5,9,23,37,40,83
,hu5,10,27,32,59,75
,hu5,33,55,62,86,88
,hu5,11,26,35,51,85
,hu5,39,43,51,63,77
,hu5,9,29,37,52,65
,hu5,4,19,38,40,60
,hu5,10,21,49,56,67
,hu5,1,24,49,67,71
,hu5,2,11,25,32,67
,hu5,22,30,34,39,75
,hu5,2,18,32,55,59
,hu5,28,33,65,86,88
,hu5,6,29,58,71,81
,hu5,12,35,41,44,73
,hu5,19,20,28,63,89
,hu5,10,23,47,58,84
,hu5,5,40,66,81,87
,hu5,24,38,45,48,89
,hu5,27,31,41,49,60
,hu5,1,6,27,40,58
,hu5,13,36,53,59,75
,hu5,38,47,49,58,69
,hu5,36,46,55,59,72
,hu5,13,70,72,76,78
,hu5,30,42,61,65,66
,hu5,22,36,40,55,61
,hu5,20,33,51,76,79
,hu5,8,13,47,56,85
,hu5,11,20,27,32,55
,hu5,11,24,34,64,89
,hu5,9,20,21,59,68
,hu5,12,26,36,46,49
,hu5,24,31,67,71,73
,hu5,4,15,46,49,59
,hu5,1,4,8,69,74
,hu5,12,28,34,61,70
,hu5,24,33,34,39,54
,hu5,23,25,28,66,76
,hu5,3,14,24,73,83
,hu5,13,40,55,56,76
,hu5,32,45,55,70,78
,hu5,59,68,75,80,85
,hu5,20,22,23,50,67
,hu5,16,30,81,83,87
,hu5,20,40,52,54,90
,hu5,7,24,25,50,76
,hu5,10,29,60,74,86
,hu5,25,28,45,55,74
,hu5,7,12,18,38,90
,hu5,6,24,25,53,79
,hu5,17,18,28,35,90
,hu5,7,29,30,77,80
,hu5,17,18,51,52,75
,hu5,4,56,74,77,89
,hu5,23,33,34,71,89
,hu5,1,5,22,44,88
,hu5,2,6,47,74,80
,hu5,7,37,40,46,51
,hu5,7,20,35,58,83
,hu5,1,45,60,61,82
,hu5,25,35,37,74,86
,hu5,32,41,59,66,79
,hu5,18,38,41,67,89
,hu5,55,56,58,61,71
,hu5,20,32,43,65,73
,hu5,46,50,58,62,76
,hu5,12,60,66,67,72
,hu5,17,60,66,71,85
,hu5,4,23,42,61,64
,hu5,23,31,42,73,85
,hu5,3,21,28,30,33
,hu5,2,23,65,71,84
,hu5,13,33,73,77,78
,hu5,10,21,29,40,87
,hu5,21,29,37,48,68
,hu5,7,21,33,39,86
,hu5,54,56,57,59,71
,hu5,1,28,47,56,70
,hu5,5,12,31,53,60
,hu5,18,42,54,83,89
,hu5,37,42,44,61,62
,hu5,3,17,20,37,40
,hu5,33,42,50,69,85
,hu5,2,3,53,60,69
,hu5,17,18,33,41,59
,hu5,22,26,43,74,81
,hu5,3,5,13,60,88
,hu5,14,26,48,71,85
,hu5,15,20,25,47,66
,hu5,5,21,43,52,64
,hu5,8,25,64,72,79
,hu5,8,17,35,49,67
,hu5,11,24,34,41,87
,hu5,12,21,42,43,65
,hu5,20,21,41,62,77
,hu5,11,37,40,52,73
,hu5,23,24,51,59,78
,hu5,13,15,16,28,54
,hu5,11,12,18,76,79
,hu5,39,58,61,62,71
,hu5,52,55,60,67,81
,hu5,3,10,27,36,56
,hu5,9,28,56,87,90
,hu5,41,47,59,71,74
,hu5,6,11,30,78,80
,hu5,10,16,47,67,70
,hu5,6,19,47,52,85
,hu5,5,30,32,49,79
,hu5,6,56,71,81,85
,hu5,1,17,37,49,68
,hu5,3,25,51,80,86
,hu5,15,37,39,80,81
,hu5,27,31,54,66,76
,hu5,28,38,65,77,90
,hu5,6,33,43,73,74
,hu5,1,37,41,72,75
,hu5,22,35,43,50,69
,hu5,27,52,54,61,90
,hu5,26,37,53,65,79
,hu5,50,71,75,79,88
,hu5,2,3,24,58,87
,hu5,2,19,49,53,54
,hu5,27,35,39,68,71
,hu5,6,13,55,66,81
,hu5,13,51,55,62,74
,hu5,12,13,19,28,85
,hu5,18,20,61,77,90
,hu5,20,31,36,61,66
,hu5,27,30,32,47,90
,hu5,2,6,43,72,81
,hu5,2,28,29,45,81
,hu5,22,36,63,68,74
,hu5,10,22,43,52,68
,hu5,25,27,54,72,84
,hu5,2,15,32,42,75
,hu5,24,50,54,60,77
,hu5,1,21,25,60,78
,hu5,42,51,56,63,88
,hu5,8,23,25,54,79
,hu5,19,27,51,70,84
,hu5,28,52,69,70,90
,hu5,56,77,79,85,89
,hu5,11,31,45,53,83
,hu5,5,16,52,58,66
,hu5,31,36,48,50,54
,hu5,6,20,26,72,82
,hu5,5,11,50,67,69
,hu5,19,52,63,72,81
,hu5,12,55,71,74,85
,hu5,6,22,26,28,34
,hu5,47,60,66,81,89
,hu5,14,26,43,62,88
,hu5,4,40,42,51,76
,hu5,3,16,45,46,61
,hu5,2,32,36,41,43
,hu5,1,6,25,29,41
,hu5,4,20,43,58,67
,hu5,3,15,39,67,76
,hu5,25,27,73,76,77
,hu5,13,45,48,54,90
,hu5,35,38,46,61,62
,hu5,12,36,40,71,72
,hu5,14,19,44,45,67
,hu5,22,23,51,78,89
,hu5,5,7,46,52,84
,hu5,3,18,58,59,72
,hu5,12,27,56,58,63
,hu5,5,12,15,17,69
,hu5,1,12,24,52,87
,hu5,13,15,28,45,79
,hu5,10,31,45,71,78
,hu5,4,9,11,37,53
,hu5,12,28,37,61,80
,hu5,21,26,27,42,73
,hu5,15,32,42,47,52
,hu5,24,61,68,75,85
,hu5,38,57,58,62,63
,hu5,1,9,34,35,86
,hu5,13,28,52,75,83
,hu5,7,10,18,33,41
,hu5,17,57,59,60,71
,hu5,10,43,59,80,85
,hu5,11,25,32,78,83
,hu5,23,36,54,55,74
,hu5,12,38,62,64,71
,hu5,58,66,68,83,89
,hu5,17,32,34,82,87
,hu5,17,53,60,79,82
,hu5,12,36,61,69,88
,hu5,15,18,60,74,78
,hu5,7,8,11,29,90
,hu5,5,17,32,35,81
,hu5,42,54,62,68,75
,hu5,32,35,54,68,77
,hu5,4,10,20,59,79
,hu5,44,50,82,85,88
,hu5,14,28,31,78,88
,hu5,30,39,55,57,85
,hu5,6,9,64,67,79
,hu5,9,22,58,69,79
,hu5,22,32,56,61,73
,hu5,36,50,51,80,82
,hu5,23,50,76,79,89
,hu5,17,35,58,59,63
,hu5,4,9,18,25,63
,hu5,3,21,35,40,45
,hu5,46,47,70,77,79
,hu5,21,44,53,56,77
,hu5,3,49,64,76,90
,hu5,17,29,64,70,82
,hu5,28,34,39,40,81
,hu5,18,47,49,55,60
,hu5,13,17,20,82,86
,hu5,7,23,27,35,61
,hu5,18,38,45,58,80
,hu5,16,18,50,69,88
,hu5,5,16,26,50,73
,hu5,15,48,65,67,81
,hu5,13,31,43,53,60
,hu5,1,47,58,86,90
,hu5,20,23,51,59,64
,hu5,25,42,48,52,90
,hu5,5,11,47,48,77
,hu5,15,29,37,39,55
,hu5,4,30,47,67,81
,hu5,19,57,59,73,74
,hu5,10,19,57,64,81
,hu5,14,16,33,78,83
,hu5,4,11,31,37,64
,hu5,11,16,34,42,59
,hu5,1,5,34,66,72
,hu5,8,10,70,76,85
,hu5,4,22,30,67,88
,hu5,16,29,53,57,80
